message,category,priority
I need a personal loan for home renovation,LOANS,MEDIUM
Can you help me open a savings account?,SAVINGS,LOW
My online banking is not working,IT,HIGH
What are the current loan interest rates?,LOANS,LOW
I cannot access my account online,IT,HIGH
How do I increase my savings account limit?,SAVINGS,MEDIUM
The ATM swallowed my card,IT,HIGH
I want to apply for a business loan,LOANS,MEDIUM
My account balance is showing incorrectly,ACCOUNT_MANAGEMENT,HIGH
Can I get a credit card with my savings account?,GENERAL_INQUIRY,LOW
The mobile app keeps crashing,IT,HIGH
I need help with loan repayment schedule,LOANS,MEDIUM
How to set up automatic savings transfers?,SAVINGS,LOW
My transaction failed but money was deducted,BILLING,HIGH
What documents are needed for a mortgage loan?,LOANS,LOW
I forgot my online banking password,IT,MEDIUM
Can I link multiple accounts for savings?,SAVINGS,LOW
Unauthorized transaction on my account,ACCOUNT_MANAGEMENT,HIGH
How to check my loan balance online?,LOANS,LOW
The website is showing error 500,IT,HIGH
I want to close my savings account,SAVINGS,MEDIUM
Cannot login to mobile banking app,IT,HIGH
Need information about education loans,LOANS,LOW
My fixed deposit maturity date query,SAVINGS,LOW
Account hacked need immediate help,ACCOUNT_MANAGEMENT,HIGH
Loan application status inquiry,LOANS,MEDIUM
Email notifications not working,IT,LOW
Interest not credited to my savings account,SAVINGS,MEDIUM
System timeout during transaction,IT,MEDIUM
Apply for agricultural loan subsidy,LOANS,LOW
Cannot update my contact information,ACCOUNT_MANAGEMENT,MEDIUM
Received incorrect billing statement,BILLING,HIGH
Two factor authentication not working,IT,HIGH
Want to prepay my loan,LOANS,MEDIUM
Check image upload failing,IT,MEDIUM
Savings account statement request,SAVINGS,LOW
Loan EMI deducted twice this month,BILLING,HIGH
Mobile banking showing old transactions,IT,MEDIUM
Need higher withdrawal limit for savings,SAVINGS,LOW
Cannot verify identity for loan,LOANS,MEDIUM
How much can I save with high yield account?,SAVINGS,LOW
Personal loan for wedding expenses needed,LOANS,MEDIUM
My credit card payment is not reflecting,BILLING,HIGH
App freezes when transferring money,IT,HIGH
What is the minimum balance for savings?,SAVINGS,LOW
Home loan refinancing options,LOANS,LOW
Duplicate charges on my statement,BILLING,HIGH
Password reset link not working,IT,MEDIUM
Interest rate on car loans,LOANS,LOW
How to download account statements?,GENERAL_INQUIRY,LOW
Transaction declined but amount deducted,BILLING,HIGH
Cannot add beneficiary for transfer,IT,MEDIUM
Savings account interest calculation,SAVINGS,LOW
Business loan eligibility criteria,LOANS,LOW
Security question locked my account,ACCOUNT_MANAGEMENT,MEDIUM
Direct deposit not showing up,BILLING,HIGH
Mobile app not updating balance,IT,MEDIUM
Monthly savings plan information,SAVINGS,LOW
Student loan deferment options,LOANS,MEDIUM
Wrong amount withdrawn from ATM,BILLING,HIGH
Biometric login not functioning,IT,MEDIUM
Recurring deposit account opening,SAVINGS,LOW
Loan pre-closure charges query,LOANS,LOW
Account statement has errors,BILLING,MEDIUM
Cannot download mobile banking app,IT,LOW
Tax on savings account interest,SAVINGS,LOW
Consolidation of multiple loans,LOANS,MEDIUM
Unauthorized access to account,ACCOUNT_MANAGEMENT,HIGH
Failed wire transfer urgent,BILLING,HIGH
Website certificate error showing,IT,MEDIUM
Children savings account options,SAVINGS,LOW
Small business loan application help,LOANS,MEDIUM
Cashback not credited to account,BILLING,MEDIUM
Fingerprint authentication failing,IT,MEDIUM
Senior citizen savings scheme details,SAVINGS,LOW
Agricultural loan interest subsidy,LOANS,LOW
Strange transaction in my history,ACCOUNT_MANAGEMENT,HIGH
Payment to vendor failed,BILLING,HIGH
Cannot access account from abroad,IT,MEDIUM
Joint savings account opening,SAVINGS,LOW
Housing loan tax benefits,LOANS,LOW
Multiple failed login attempts lockout,ACCOUNT_MANAGEMENT,MEDIUM
Scheduled payment did not process,BILLING,HIGH
OTP not received for transaction,IT,HIGH
Savings goal tracker not working,SAVINGS,LOW
Vehicle loan documentation needed,LOANS,LOW
Merchant refund not processed,BILLING,MEDIUM
QR code payment not working,IT,MEDIUM
Retirement savings account information,SAVINGS,LOW
Debt consolidation loan inquiry,LOANS,MEDIUM
,,

